date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:05:27	315/315	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2027%20Oct%202020%2009:35:29%20GMT	https://www.equationsmedia.com/robots.txt		(from )
15:05:27	61189/61189	---M--	200	added ('OK')	text/html	date:Mon,%2008%20Oct%202018%2008:12:31%20GMT	https://www.equationsmedia.com/	C:/My%20Web%20Sites/Digital%20Solu/www.equationsmedia.com/index.html	(from )
15:05:28	37414/37414	---M--	200	added ('OK')	text/css	date:Mon,%2008%20Oct%202018%2008:12:52%20GMT	https://www.equationsmedia.com/css/font-awesome.css	C:/My%20Web%20Sites/Digital%20Solu/www.equationsmedia.com/css/font-awesome.css	(from https://www.equationsmedia.com/)
15:05:28	148362/148362	---M--	200	added ('OK')	text/css	date:Mon,%2008%20Oct%202018%2008:12:46%20GMT	https://www.equationsmedia.com/css/bootstrap.css	C:/My%20Web%20Sites/Digital%20Solu/www.equationsmedia.com/css/bootstrap.css	(from https://www.equationsmedia.com/)
15:05:30	52789/52789	---M--	200	added ('OK')	text/css	date:Mon,%2008%20Oct%202018%2008:12:41%20GMT	https://www.equationsmedia.com/css/animate.min.css	C:/My%20Web%20Sites/Digital%20Solu/www.equationsmedia.com/css/animate.min.css	(from https://www.equationsmedia.com/)
15:05:30	16279/16279	---M--	200	added ('OK')	image/png	date:Tue,%2025%20Sep%202018%2012:59:34%20GMT	https://www.equationsmedia.com/images/logo.png	C:/My%20Web%20Sites/Digital%20Solu/www.equationsmedia.com/images/logo.png	(from https://www.equationsmedia.com/)
15:05:30	65716/65716	---M--	200	added ('OK')	text/css	date:Mon,%2008%20Oct%202018%2008:12:51%20GMT	https://www.equationsmedia.com/css/custom.css	C:/My%20Web%20Sites/Digital%20Solu/www.equationsmedia.com/css/custom.css	(from https://www.equationsmedia.com/)
15:05:30	27706/27706	---M--	200	added ('OK')	text/html	date:Mon,%2008%20Oct%202018%2008:12:37%20GMT	https://www.equationsmedia.com/about-us.html	C:/My%20Web%20Sites/Digital%20Solu/www.equationsmedia.com/about-us.html	(from https://www.equationsmedia.com/)
15:05:30	35758/35758	---M--	200	added ('OK')	text/html	date:Mon,%2008%20Oct%202018%2008:12:30%20GMT	https://www.equationsmedia.com/our-services.html	C:/My%20Web%20Sites/Digital%20Solu/www.equationsmedia.com/our-services.html	(from https://www.equationsmedia.com/)
15:05:30	22128/22128	---M--	200	added ('OK')	text/html	date:Wed,%2021%20Nov%202018%2010:27:38%20GMT	https://www.equationsmedia.com/newsroom.html	C:/My%20Web%20Sites/Digital%20Solu/www.equationsmedia.com/newsroom.html	(from https://www.equationsmedia.com/)
15:05:31	31013/31013	---M--	200	added ('OK')	text/html	date:Mon,%2008%20Oct%202018%2008:12:35%20GMT	https://www.equationsmedia.com/contact-us.html	C:/My%20Web%20Sites/Digital%20Solu/www.equationsmedia.com/contact-us.html	(from https://www.equationsmedia.com/)
15:05:31	15019/15019	---M--	200	added ('OK')	text/html	date:Mon,%2008%20Oct%202018%2008:12:36%20GMT	https://www.equationsmedia.com/blog.html	C:/My%20Web%20Sites/Digital%20Solu/www.equationsmedia.com/blog.html	(from https://www.equationsmedia.com/)
15:05:32	61189/61189	---M--	200	added ('OK')	text/html	date:Mon,%2008%20Oct%202018%2008:12:31%20GMT	https://www.equationsmedia.com/index.html	C:/My%20Web%20Sites/Digital%20Solu/www.equationsmedia.com/index-2.html	(from https://www.equationsmedia.com/)
15:05:32	28022/28022	---M--	200	added ('OK')	image/jpeg	date:Fri,%2021%20Sep%202018%2006:55:29%20GMT	https://www.equationsmedia.com/images/it-technology.jpg	C:/My%20Web%20Sites/Digital%20Solu/www.equationsmedia.com/images/it-technology.jpg	(from https://www.equationsmedia.com/)
15:05:32	22942/22942	---M--	200	added ('OK')	image/jpeg	date:Fri,%2021%20Sep%202018%2006:55:25%20GMT	https://www.equationsmedia.com/images/education.jpg	C:/My%20Web%20Sites/Digital%20Solu/www.equationsmedia.com/images/education.jpg	(from https://www.equationsmedia.com/)
15:05:32	32658/32658	---M--	200	added ('OK')	image/jpeg	date:Fri,%2021%20Sep%202018%2006:55:32%20GMT	https://www.equationsmedia.com/images/media.jpg	C:/My%20Web%20Sites/Digital%20Solu/www.equationsmedia.com/images/media.jpg	(from https://www.equationsmedia.com/)
15:05:32	56134/56134	---M--	200	added ('OK')	image/jpeg	date:Fri,%2021%20Sep%202018%2006:55:36%20GMT	https://www.equationsmedia.com/images/real-estate.jpg	C:/My%20Web%20Sites/Digital%20Solu/www.equationsmedia.com/images/real-estate.jpg	(from https://www.equationsmedia.com/)
15:05:33	21974/21974	---M--	200	added ('OK')	image/jpeg	date:Fri,%2021%20Sep%202018%2006:55:31%20GMT	https://www.equationsmedia.com/images/lifestyle.jpg	C:/My%20Web%20Sites/Digital%20Solu/www.equationsmedia.com/images/lifestyle.jpg	(from https://www.equationsmedia.com/)
15:05:33	21171/21171	---M--	200	added ('OK')	image/jpeg	date:Fri,%2021%20Sep%202018%2006:55:27%20GMT	https://www.equationsmedia.com/images/health.jpg	C:/My%20Web%20Sites/Digital%20Solu/www.equationsmedia.com/images/health.jpg	(from https://www.equationsmedia.com/)
15:05:33	43711/43711	---M--	200	added ('OK')	image/jpeg	date:Fri,%2021%20Sep%202018%2006:55:28%20GMT	https://www.equationsmedia.com/images/hospitality.jpg	C:/My%20Web%20Sites/Digital%20Solu/www.equationsmedia.com/images/hospitality.jpg	(from https://www.equationsmedia.com/)
15:05:34	34433/34433	---M--	200	added ('OK')	image/jpeg	date:Fri,%2021%20Sep%202018%2006:55:21%20GMT	https://www.equationsmedia.com/images/culture.jpg	C:/My%20Web%20Sites/Digital%20Solu/www.equationsmedia.com/images/culture.jpg	(from https://www.equationsmedia.com/)
15:05:34	27509/27509	---M--	200	added ('OK')	image/jpeg	date:Fri,%2021%20Sep%202018%2006:55:25%20GMT	https://www.equationsmedia.com/images/corporates.jpg	C:/My%20Web%20Sites/Digital%20Solu/www.equationsmedia.com/images/corporates.jpg	(from https://www.equationsmedia.com/)
15:05:35	45078/45078	---M--	200	added ('OK')	image/jpeg	date:Fri,%2021%20Sep%202018%2006:55:36%20GMT	https://www.equationsmedia.com/images/retail.jpg	C:/My%20Web%20Sites/Digital%20Solu/www.equationsmedia.com/images/retail.jpg	(from https://www.equationsmedia.com/)
15:05:35	37475/37475	---M--	200	added ('OK')	image/jpeg	date:Fri,%2021%20Sep%202018%2006:55:26%20GMT	https://www.equationsmedia.com/images/financial-services.jpg	C:/My%20Web%20Sites/Digital%20Solu/www.equationsmedia.com/images/financial-services.jpg	(from https://www.equationsmedia.com/)
